hip_pitch,knee,torso_height,torso_pitch,knee_forward,com_to_wheel,geometric_height,knee_forward_ok,torso_upright,com_near_wheel,full_static,analytic_height,analytic_knee_forward,target_height,com_tolerance
-0.5,1.7120805369127519,0.25021772321674945,0.0,0.12464990986299215,0.2743403136528629,False,True,True,False,False,0.3264716414776901,-0.12465064003709278,0.5,0.03
-0.5,1.733557046979866,0.24543798494589503,0.0,0.12464990986299215,0.27114064478381505,False,True,True,False,False,0.32081874606556054,-0.12465064003709278,0.5,0.03
-0.5,1.7550335570469802,0.24073770706434477,0.0,0.12464990986299215,0.2678517058994895,False,True,True,False,False,0.31512311961959116,-0.12465064003709278,0.5,0.03
-0.5,1.7765100671140943,0.2361190574472189,0.0,0.12464990986299215,0.2644750139333432,False,True,True,False,False,0.30938738909231067,-0.12465064003709278,0.5,0.03
-0.5,1.7979865771812085,0.23158416632082462,0.0,0.12464990986299215,0.26101212629255227,False,True,True,False,False,0.3036141999331626,-0.12465064003709278,0.5,0.03
-0.5,1.8194630872483222,0.22713512528014707,0.0,0.12464990986299215,0.2574646401396994,False,True,True,False,False,0.29780621486836406,-0.12465064003709278,0.5,0.03
-0.5,1.8409395973154363,0.22277398632415812,0.0,0.12464990986299215,0.25383419165612575,False,True,True,False,False,0.29196611267279543,-0.12465064003709278,0.5,0.03
-0.5,1.8624161073825505,0.21850276090938808,0.0,0.12464990986299215,0.2501224552872876,False,True,True,False,False,0.2860965869344889,-0.12465064003709278,0.5,0.03
-0.5,1.8838926174496646,0.2143234190221957,0.0,0.12464990986299215,0.24633114297046377,False,True,True,False,False,0.2802003448122841,-0.12465064003709278,0.5,0.03
-0.5,1.9053691275167788,0.21023788827016615,0.0,0.12464990986299215,0.24246200334517123,False,True,True,False,False,0.27428010578722495,-0.12465064003709278,0.5,0.03
-0.5,1.926845637583893,0.206248052993054,0.0,0.12464990986299215,0.2385168209466524,False,True,True,False,False,0.26833860040827273,-0.12465064003709278,0.5,0.03
-0.5,1.948322147651007,0.20235575339368328,0.0,0.12464990986299215,0.23449741538280733,False,True,True,False,False,0.2623785690329155,-0.12465064003709278,0.5,0.03
-0.5,1.9697986577181212,0.1985627846892038,0.0,0.12464990986299215,0.23040564049494913,False,True,True,False,False,0.25640276056325223,-0.12465064003709278,0.5,0.03
-0.5,1.9912751677852354,0.19487089628309623,0.0,0.12464990986299215,0.22624338350276965,False,True,True,False,False,0.25041393117813676,-0.12465064003709278,0.5,0.03
-0.5,2.012751677852349,0.19128179095830772,0.0,0.12464990986299215,0.22201256413391177,False,True,True,False,False,0.2444148430619657,-0.12465064003709278,0.5,0.03
-0.5,2.0342281879194632,0.1877971240918887,0.0,0.12464990986299215,0.2177151337385458,False,True,True,False,False,0.23840826313069544,-0.12465064003709278,0.5,0.03
-0.5,2.0557046979865774,0.18441850289149647,0.0,0.12464990986299215,0.21335307438936424,False,True,True,False,False,0.23239696175567834,-0.12465064003709278,0.5,0.03
-0.5,2.0771812080536916,0.18114748565411382,0.0,0.12464990986299215,0.20892839796740317,False,True,True,False,False,0.226383711485904,-0.12465064003709278,0.5,0.03
-0.5,2.0986577181208057,0.1779855810473271,0.0,0.12464990986299215,0.20444314523411794,False,True,True,False,False,0.22037128576923656,-0.12465064003709278,0.5,0.03
-0.5,2.12013422818792,0.17493424741349445,0.0,0.12464990986299215,0.19989938489013717,False,True,True,False,False,0.21436245767323753,-0.12465064003709278,0.5,0.03
-0.5,2.141610738255034,0.17199489209712499,0.0,0.12464990986299215,0.1952992126211307,False,True,True,False,False,0.20835999860616392,-0.12465064003709278,0.5,0.03
